,id,fecha,nom_estac,clave_de_estacion,clave_parametro,nombre_de_parametro,unidades_parametros,valor,id_unidad,clave_de_unidad,nombre_de_unidad,alt,obs_estac,id_station,latitud,longitud,coordenadas
11118,397502,2020-02-15T15:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,35.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11119,397509,2020-02-15T15:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,90.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11120,397534,2020-02-15T15:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,67.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11121,397585,2020-02-15T16:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,93.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11122,397623,2020-02-15T16:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.4,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11123,397649,2020-02-15T17:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,85.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11124,397663,2020-02-15T17:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,4.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11125,397689,2020-02-15T17:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.2,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11126,397700,2020-02-15T18:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11127,397707,2020-02-15T18:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,15.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11128,397734,2020-02-15T18:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,39.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11129,397756,2020-02-15T18:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.2,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11130,397762,2020-02-15T19:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11131,397788,2020-02-15T19:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,62.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11132,397803,2020-02-15T19:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,25.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11133,397813,2020-02-15T19:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,58.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11134,397825,2020-02-15T19:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.3,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
